IN|OUT|WIP|mail room_Processed|mail room_WIP|PFR check_Processed|PFR check_WIP|Analyst_Processed|Analyst_WIP|Pay_Processed|Pay_WIP
1|3|10|3|1|0|6|3|0|3|3
3|3|10|1|3|0|7|0|0|3|0
3|0|13|3|3|4|6|0|4|0|0
4|0|17|3|4|4|5|4|4|0|4
6|4|19|4|6|3|6|4|3|4|4
5|4|20|6|5|0|12|3|0|4|3
2|3|19|5|2|1|16|0|1|3|0
4|0|23|2|4|3|15|1|3|0|1
2|1|24|4|2|0|19|3|0|1|3
3|3|24|2|3|3|18|0|3|3|0
6|0|30|3|6|2|19|3|2|0|3
4|3|31|5|5|1|23|2|1|3|2
5|2|34|5|5|4|24|1|4|2|1
2|1|35|5|2|0|29|4|0|1|4
1|4|32|2|1|4|27|0|4|4|0
5|0|37|1|5|4|24|4|4|0|4
6|4|39|5|6|2|27|4|2|4|4
4|4|39|5|5|0|32|2|0|4|2
1|2|38|5|1|3|34|0|3|2|0
3|0|41|1|3|2|33|3|2|0|3
3|3|41|3|3|1|35|2|1|3|2
3|2|42|3|3|1|37|1|1|2|1
4|1|45|3|4|2|38|1|2|1|1
4|1|48|4|4|4|38|2|4|1|2
4|2|50|4|4|3|39|4|3|2|4
1|4|47|4|1|0|43|3|0|4|3
2|3|46|1|2|0|44|0|0|3|0
5|0|51|2|5|3|43|0|3|0|0
3|0|54|5|3|3|45|3|3|0|3
5|3|56|3|5|1|47|3|1|3|3
3|3|56|5|3|4|48|1|4|3|1
4|1|59|3|4|1|50|4|1|1|4
6|4|61|4|6|0|54|1|0|4|1
3|1|63|6|3|2|58|0|2|1|0
3|0|66|3|3|1|60|2|1|0|2
5|2|69|3|5|0|63|1|0|2|1
3|1|71|5|3|0|68|0|0|1|0
6|0|77|3|6|2|69|0|2|0|0
5|0|82|6|5|0|75|2|0|0|2
3|2|83|5|3|2|78|0|2|2|0
3|0|86|3|3|1|80|2|1|0|2
6|2|90|3|6|4|79|1|4|2|1
3|1|92|6|3|0|85|4|0|1|4
6|4|94|3|6|2|86|0|2|4|0
6|0|100|6|6|0|92|2|0|0|2
4|2|102|5|5|3|94|0|3|2|0
2|0|104|5|2|3|96|3|3|0|3
4|3|105|2|4|4|94|3|4|3|3
5|3|107|4|5|2|96|4|2|3|4
5|4|108|5|5|2|99|2|2|4|2
4|2|110|5|4|3|101|2|3|2|2
2|2|110|4|2|3|102|3|3|2|3
4|3|111|2|4|4|100|3|4|3|3
1|3|109|4|1|0|104|4|0|3|4
3|4|108|1|3|2|103|0|2|4|0
3|0|111|3|3|0|106|2|0|0|2
3|2|112|3|3|0|109|0|0|2|0
6|0|118|3|6|2|110|0|2|0|0
2|0|120|5|3|4|111|2|4|0|2
4|2|122|3|4|0|114|4|0|2|4
6|4|124|4|6|2|116|0|2|4|0
4|0|128|5|5|2|119|2|2|0|2
6|2|132|5|6|1|123|2|1|2|2
2|2|132|5|3|3|125|1|3|2|1
6|1|137|3|6|2|126|3|2|1|3
2|3|136|6|2|0|132|2|0|3|2
5|2|139|2|5|1|133|0|1|2|0
1|0|140|5|1|1|137|1|1|0|1
2|1|141|1|2|2|136|1|2|1|1
1|1|141|2|1|3|135|2|3|1|2
1|2|140|1|1|2|134|3|2|2|3
3|3|140|1|3|3|132|2|3|3|2
3|2|141|3|3|0|135|3|0|2|3
6|3|144|3|6|3|135|0|3|3|0
5|0|149|6|5|4|137|3|4|0|3
1|3|147|5|1|4|138|4|4|3|4
1|4|144|1|1|2|137|4|2|4|4
4|4|144|1|4|0|138|2|0|4|2
5|2|147|4|5|3|139|0|3|2|0
4|0|151|5|4|0|144|3|0|0|3
3|3|151|4|3|1|147|0|1|3|0
4|0|155|3|4|0|150|1|0|0|1
5|1|159|4|5|3|151|0|3|1|0
6|0|165|5|6|2|154|3|2|0|3
3|3|165|6|3|0|160|2|0|3|2
3|2|166|3|3|1|162|0|1|2|0
1|0|167|3|1|4|161|1|4|0|1
3|1|169|1|3|3|159|4|3|1|4
