IN|OUT|WIP|mail room_Processed|mail room_WIP|PFR check_Processed|PFR check_WIP|Analyst_Processed|Analyst_WIP|Pay_Processed|Pay_WIP
3|1|14|2|4|3|2|3|3|1|5
5|5|14|4|5|2|4|3|2|5|3
6|2|18|5|6|4|5|2|4|2|3
3|1|20|1|8|4|2|1|7|1|3
2|3|19|5|5|2|5|5|4|3|5
3|3|19|5|3|4|6|4|4|3|6
1|1|19|2|2|4|4|4|4|1|9
3|5|17|2|3|4|2|4|4|5|8
5|6|16|3|5|2|3|2|4|6|4
2|3|15|4|3|3|4|2|5|3|3
3|2|16|1|5|4|1|5|4|2|6
1|1|16|2|4|1|2|4|1|1|9
1|1|16|2|3|2|2|1|2|1|9
2|5|13|3|2|2|3|1|3|5|5
4|5|12|2|4|3|2|3|3|5|3
2|2|12|4|2|2|4|3|2|2|4
1|4|9|2|1|4|2|2|4|4|2
6|2|13|1|6|2|1|1|5|2|1
1|1|13|4|3|1|4|5|1|1|5
5|3|15|2|6|4|2|1|4|3|3
2|3|14|3|5|2|3|4|2|3|4
1|3|12|3|3|3|3|2|3|3|3
5|2|15|3|5|3|3|3|3|2|4
6|4|17|1|10|3|1|2|4|4|2
5|2|20|2|13|1|2|4|1|2|4
3|4|19|3|13|2|3|1|2|4|1
4|1|22|1|16|3|1|1|4|1|1
2|1|23|6|12|1|6|1|4|1|1
5|1|27|4|13|4|6|2|6|1|2
6|2|31|1|18|4|3|5|5|2|5
3|1|33|2|19|3|2|3|5|1|7
6|2|37|5|20|2|5|5|2|2|10
1|3|35|6|15|4|7|2|4|3|9
6|3|38|4|17|4|7|4|4|3|10
5|4|39|1|21|4|4|4|4|4|10
3|4|38|5|19|4|5|1|7|4|7
3|5|36|1|21|4|2|4|7|5|6
1|4|33|1|21|2|1|6|3|4|8
5|6|32|2|24|1|2|3|1|6|5
2|5|29|4|22|2|4|1|2|5|1
5|1|33|6|21|4|6|1|5|1|1
3|1|35|1|23|4|3|3|6|1|3
3|3|35|6|20|3|6|6|3|3|6
5|4|36|3|22|4|5|3|4|4|5
6|4|38|1|27|4|2|2|6|4|3
5|1|42|6|26|2|6|6|2|1|8
4|3|43|6|24|4|8|2|4|3|7
4|1|46|6|22|4|10|1|7|1|7
3|4|45|1|24|4|7|2|9|4|5
5|5|45|1|28|4|4|5|8|5|5
1|1|45|2|27|4|2|5|7|1|9
1|5|41|3|25|2|3|4|5|5|8
1|4|38|5|21|3|5|5|3|4|9
6|3|41|2|25|4|3|1|6|3|7
2|5|38|3|24|3|3|6|3|5|8
4|3|39|6|22|3|6|3|3|3|8
5|3|41|5|22|4|7|3|4|3|8
4|1|44|5|21|4|8|2|6|1|9
1|4|41|2|20|4|6|1|9|4|6
2|1|42|1|21|4|3|3|10|1|8
1|2|41|6|16|3|6|3|10|2|9
1|1|41|1|16|4|3|2|12|1|10
3|2|42|3|16|3|3|5|10|2|13
3|4|41|2|17|3|2|6|7|4|15
6|5|42|5|18|2|5|1|8|5|11
4|5|41|3|19|4|4|3|9|5|9
2|2|41|3|18|4|3|6|7|2|13
5|5|41|3|20|3|3|2|8|5|10
1|4|38|3|18|3|3|4|7|4|10
2|2|38|2|18|3|2|3|7|2|11
2|5|35|2|18|2|2|1|8|5|7
6|2|39|4|20|2|4|3|7|2|8
1|1|39|3|18|4|3|2|9|1|9
5|4|40|6|17|3|6|3|9|4|8
5|5|40|4|18|4|6|3|10|5|6
5|5|40|4|19|4|6|2|12|5|3
4|3|41|1|22|4|3|6|10|3|6
6|5|42|5|23|3|5|2|11|5|3
3|3|42|2|24|4|3|5|10|3|5
4|1|45|6|22|3|6|4|9|1|8
4|3|46|3|23|4|5|2|11|3|7
3|2|47|5|21|4|6|1|14|2|6
2|1|48|6|17|4|8|2|16|1|7
1|2|47|4|14|4|8|1|19|2|6
2|4|45|2|14|4|6|6|17|4|8
3|5|43|3|14|4|5|6|15|5|9
2|5|40|1|15|4|2|4|15|5|8
1|3|38|3|13|2|3|6|11|3|11
6|1|43|5|14|3|5|2|12|1|12
2|2|43|2|14|4|3|1|15|2|11
2|6|39|3|13|3|3|6|12|6|11
3|6|36|4|12|3|4|2|13|6|7
5|1|40|6|11|4|6|4|13|1|10
3|5|38|5|9|4|7|1|16|5|6
6|4|40|3|12|4|6|4|16|4|6
2|1|41|3|11|4|5|4|16|1|9
6|3|44|5|12|4|6|4|16|3|10
6|5|45|5|13|4|7|5|15|5|10
2|5|42|6|9|4|9|2|17|5|7
2|3|41|3|8|4|8|1|20|3|5
6|5|42|1|13|4|5|2|22|5|2
3|2|43|3|13|4|4|6|20|2|6
4|6|41|3|14|4|3|5|19|6|5
1|5|37|3|12|3|3|5|17|5|5
6|4|39|6|12|3|6|1|19|4|2
5|2|42|5|12|4|7|3|20|2|3
3|2|43|3|12|4|6|6|18|2|7
3|6|40|2|13|4|4|4|18|6|5
2|4|38|4|11|4|4|6|16|4|7
6|2|42|5|12|4|5|4|16|2|9
3|5|40|6|9|4|7|5|15|5|9
2|2|40|1|10|4|4|4|15|2|11
2|4|38|2|10|4|2|6|13|4|13
3|2|39|3|10|2|3|1|14|2|12
5|1|43|1|14|3|1|4|13|1|15
5|3|45|1|18|1|1|3|11|3|15
5|5|45|4|19|1|4|1|11|5|11
1|5|41|3|17|4|3|2|13|5|8
4|5|40|3|18|3|3|4|12|5|7
2|4|38|4|16|3|4|2|13|4|5
3|4|37|1|18|4|1|4|13|4|5
2|4|35|2|18|1|2|2|12|4|3
6|2|39|2|22|2|2|6|8|2|7
5|2|42|5|22|2|5|3|7|2|8
1|2|41|6|17|4|7|1|10|2|7
1|5|37|5|13|4|8|5|9|5|7
4|4|37|4|13|4|8|1|12|4|4
2|1|38|1|14|4|5|5|11|1|8
2|6|34|2|14|4|3|5|10|6|7
3|3|34|2|15|3|2|4|9|3|8
6|6|34|6|15|2|6|6|5|6|8
3|4|33|1|17|4|3|5|4|4|9
5|5|33|2|20|3|2|4|3|5|8
6|4|35|2|24|2|2|3|2|4|7
3|4|34|1|26|2|1|2|2|4|5
5|4|35|6|25|1|6|2|1|4|3
5|3|37|1|29|4|3|1|4|3|1
5|1|41|3|31|3|3|4|3|1|4
1|2|40|3|29|3|3|3|3|2|5
3|3|40|4|28|3|4|3|3|3|5
6|4|42|5|29|4|5|3|4|4|4
1|3|40|1|29|4|2|2|6|3|3
4|2|42|5|28|2|5|2|6|2|3
1|2|41|2|27|4|3|2|8|2|3
1|3|39|6|22|3|6|3|8|3|3
3|3|39|2|23|4|4|6|6|3|6
6|3|42|5|24|4|5|5|5|3|8
4|4|42|3|25|4|4|5|4|4|9
6|3|45|2|29|4|2|3|5|3|9
6|2|49|2|33|2|2|5|2|2|12
5|6|48|2|36|2|2|2|2|6|8
4|1|51|2|38|2|2|2|2|1|9
4|4|51|5|37|2|5|2|2|4|7
5|3|53|5|37|4|6|2|4|3|6
2|3|52|3|36|4|5|3|5|3|6
3|1|54|4|35|4|5|2|7|1|7
4|2|56|6|33|4|7|6|5|2|11
6|4|58|1|38|4|4|5|4|4|12
6|6|58|4|40|4|4|4|4|6|10
6|6|58|6|40|4|6|3|5|6|7
3|2|59|5|38|4|7|3|6|2|8
6|6|59|4|40|4|7|4|6|6|6
6|5|60|1|45|4|4|2|8|5|3
4|3|61|5|44|4|5|2|10|3|2
4|2|63|4|44|4|5|6|8|2|6
4|1|66|1|47|4|2|3|9|1|8
3|4|65|3|47|2|3|5|6|4|9
4|5|64|3|48|3|3|5|4|5|9
6|5|65|1|53|3|1|4|3|5|8
6|3|68|6|53|1|6|1|3|3|6
4|6|66|3|54|4|5|3|4|6|3
4|2|68|6|52|4|7|4|4|2|5
6|3|71|4|54|4|7|3|5|3|5
5|5|71|1|58|4|4|1|8|5|1
5|1|75|6|57|4|6|1|11|1|1
5|1|79|5|57|4|7|2|13|1|2
1|2|78|2|56|4|5|2|15|2|2
2|2|78|6|52|4|7|3|16|2|3
6|3|81|3|55|4|6|4|16|3|4
1|4|78|4|52|4|6|5|15|4|5
1|4|75|4|49|4|6|2|17|4|3
3|3|75|6|46|4|8|2|19|3|2
4|2|77|6|44|4|10|3|20|2|3
4|3|78|2|46|4|8|1|23|3|1
2|1|79|5|43|4|9|3|24|1|3
1|3|77|2|42|4|7|5|23|3|5
1|5|73|4|39|4|7|2|25|5|2
2|2|73|3|38|4|6|1|28|2|1
5|1|77|5|38|4|7|4|28|1|4
1|1|77|4|35|4|7|5|27|1|8
3|1|79|6|32|4|9|1|30|1|8
4|5|78|5|31|4|10|2|32|5|5
5|1|82|2|34|4|8|2|34|1|6
1|6|77|4|31|4|8|5|33|6|5
4|1|80|6|29|4|10|2|35|1|6
3|6|77|3|29|4|9|3|36|6|3
5|2|80|5|29|4|10|1|39|2|2
5|1|84|3|31|4|9|5|38|1|6
1|2|83|4|28|4|9|3|39|2|7
4|6|81|3|29|4|8|2|41|6|3
