IN|OUT|WIP|mail room_Processed|mail room_WIP|PFR check_Processed|PFR check_WIP|Analyst_Processed|Analyst_WIP|Pay_Processed|Pay_WIP
4|3|13|3|4|2|4|3|2|3|3
4|3|14|4|4|3|5|1|4|3|1
4|1|17|3|5|4|4|3|5|1|3
4|3|18|1|8|1|4|5|1|3|5
4|5|17|1|11|4|1|1|4|5|1
4|1|20|6|9|1|6|4|1|1|4
4|4|20|3|10|1|8|1|1|4|1
4|1|23|6|8|3|11|1|3|1|1
4|1|26|5|7|5|11|3|5|1|3
4|3|27|5|6|5|11|1|9|3|1
4|1|30|3|7|5|9|6|8|1|6
4|6|28|5|6|3|11|5|6|6|5
4|2|30|4|6|1|14|1|6|2|4
4|4|30|3|7|4|13|4|6|4|4
4|2|32|2|9|2|13|6|2|2|8
4|6|30|3|10|6|10|2|6|6|4
4|2|32|4|10|2|12|6|2|2|8
4|1|35|1|13|4|9|2|4|1|9
4|2|37|6|11|2|13|2|4|2|9
4|5|36|1|14|2|12|4|2|5|8
4|3|37|3|15|1|14|2|1|3|7
4|6|35|1|18|1|14|1|1|6|2
4|1|38|2|20|3|13|1|3|1|2
4|2|40|4|20|5|12|3|5|2|3
4|3|41|2|22|5|9|5|5|3|5
4|5|40|5|21|1|13|1|5|5|1
4|1|43|6|19|6|13|4|7|1|4
4|1|46|5|18|6|12|5|8|1|8
4|3|47|6|16|6|12|1|13|3|6
4|5|46|4|16|4|12|2|15|5|3
4|3|47|6|14|5|13|1|19|3|1
4|1|50|4|14|6|11|6|19|1|6
4|4|50|4|14|3|12|3|19|4|5
4|5|49|1|17|3|10|1|21|5|1
4|1|52|6|15|4|12|1|24|1|1
4|1|55|6|13|3|15|5|22|1|5
4|5|54|3|14|2|16|6|18|5|6
4|5|53|6|12|2|20|5|15|5|6
4|4|53|5|11|2|23|5|12|4|7
4|2|55|1|14|4|20|6|10|2|11
4|3|56|5|13|1|24|3|8|3|11
4|1|59|2|15|4|22|4|8|1|14
4|6|57|3|16|6|19|5|9|6|13
4|6|55|3|17|1|21|4|6|6|11
